station_id,station_name,city,area,number_of_chargers,total_sessions,avg_wait_time,total_revenue,sessions_per_charger,avg_utilization_rate,utilization_classification,utilization_norm,wait_norm,sessions_per_charger_norm,capacity_risk_score,capacity_risk,expansion_priority
ST1035,Whitefield Ev Hub 1035,Bengaluru,Whitefield,1,1111,13.755445544554457,320155.09,1111.0,0.35540626999360203,HIGH,0.9755593376427382,0.9271410999775644,0.9953029591357445,0.9635,CRITICAL,HIGH
ST1047,Jayanagar Ev Hub 1047,Bengaluru,Jayanagar,1,1116,13.072043010752688,294599.23,1116.0,0.36328125,HIGH,1.0,0.8399476962225714,1.0,0.944,CRITICAL,HIGH
ST1060,Viman Nagar Ev Hub 1060,Pune,Viman Nagar,3,2521,14.326497421658072,527758.21,840.3333333333334,0.1321278825995807,LOW,0.2825960953821081,1.0,0.7410364803507125,0.6483,HIGH,MEDIUM
ST1055,Kothrud Ev Hub 1055,Pune,Kothrud,3,2625,13.98224761904762,562619.52,875.0,0.13354700854700852,LOW,0.2870004720402499,0.9560781376319911,0.773602630342884,0.6428,HIGH,MEDIUM
ST1031,Borivali Ev Hub 1031,Mumbai,Borivali,1,516,9.86201550387597,141962.18,516.0,0.3467741935483871,MODERATE,0.9487689628521779,0.4303893310893761,0.4363550962893377,0.6392,HIGH,MEDIUM
ST1005,Dwarka Ev Hub 1005,Delhi,Dwarka,2,1231,11.397075548334687,256120.67,615.5,0.1812426383981154,MODERATE,0.4350278681937342,0.6262433170265588,0.5298262094880225,0.5257,HIGH,MEDIUM
ST1022,Bandra Ev Hub 1022,Mumbai,Bandra,2,1129,11.372187776793623,307623.44,564.5,0.1788656527249683,MODERATE,0.42765069336684725,0.6230679563786109,0.48191639267261627,0.5096,HIGH,MEDIUM
ST1021,Bandra Ev Hub 1021,Mumbai,Bandra,5,2856,12.697093837535014,426854.13,571.2,0.08098681412165036,LOW,0.12387549085445093,0.7921089876563362,0.4882104274307187,0.4488,MEDIUM,LOW
ST1030,Thane Ev Hub 1030,Mumbai,Thane,5,3008,12.416389627659575,445654.56,601.6,0.08242224962323606,LOW,0.1283304855847715,0.7562947284213901,0.5167684358853922,0.4452,MEDIUM,LOW
ST1061,Baner Ev Hub 1061,Pune,Baner,5,2824,12.122450424929179,423108.0,564.8,0.08160670423349227,LOW,0.1257993719195234,0.718791853738566,0.48219821512447153,0.4224,MEDIUM,LOW
ST1051,Hinjewadi Ev Hub 1051,Pune,Hinjewadi,6,3080,12.296363636363637,453813.5,513.3333333333334,0.06855413105413105,LOW,0.08528961396318085,0.7409809503732747,0.4338500078284015,0.4019,MEDIUM,LOW
ST1062,Baner Ev Hub 1062,Pune,Baner,6,3014,12.210086264100863,363008.04,502.3333333333333,0.068681068270896,LOW,0.08568357428473114,0.7299730635385882,0.42351651792703926,0.3956,MEDIUM,LOW
ST1048,Jayanagar Ev Hub 1048,Bengaluru,Jayanagar,3,1348,10.618768545994065,288140.39,449.3333333333333,0.12378328741965106,LOW,0.25669794286172093,0.5269413195304403,0.3737278847659308,0.3805,MEDIUM,LOW
ST1057,Viman Nagar Ev Hub 1057,Pune,Viman Nagar,3,1296,10.645447530864198,201997.46,432.0,0.12234494477485132,LOW,0.25223392556808455,0.5303452160401796,0.357444809769845,0.3759,MEDIUM,LOW
ST1054,Kothrud Ev Hub 1054,Pune,Kothrud,3,1298,10.483281972265022,280865.66,432.6666666666667,0.12048640118815555,LOW,0.24646577933256636,0.5096549693309197,0.3580710818850791,0.3665,MEDIUM,LOW
ST1008,Rohini Ev Hub 1008,Delhi,Rohini,3,1292,10.482430340557276,196930.21,430.6666666666667,0.12073637977759087,LOW,0.24724160889606614,0.5095463120408582,0.3561922655393769,0.3663,MEDIUM,LOW
ST1020,Bandra Ev Hub 1020,Mumbai,Bandra,3,1350,10.20525925925926,284260.81,450.0,0.12116316639741519,LOW,0.24856617704293746,0.47418283472627726,0.37435415688116486,0.359,MEDIUM,LOW
ST1017,Andheri Ev Hub 1017,Mumbai,Andheri,2,643,9.30054432348367,132918.36,321.5,0.17397186147186144,MODERATE,0.41246240088014485,0.35875280516607755,0.25364020666979803,0.354,MEDIUM,LOW
ST1016,Andheri Ev Hub 1016,Mumbai,Andheri,7,3156,11.599841571609632,475960.72,450.85714285714283,0.0593311149963341,LOW,0.05666520841534697,0.65211366262925,0.3751593638864658,0.3447,MEDIUM,LOW
ST1012,Saket Ev Hub 1012,Delhi,Saket,2,630,8.973174603174604,133522.32,315.0,0.1761744966442953,MODERATE,0.4192984642735691,0.316984624938131,0.24753405354626584,0.3405,MEDIUM,LOW
ST1050,Hinjewadi Ev Hub 1050,Pune,Hinjewadi,2,622,8.759646302250804,174205.59,311.0,0.173355629877369,MODERATE,0.41054987433117196,0.28974115065366624,0.24377642085486143,0.3266,MEDIUM,LOW
ST1011,Saket Ev Hub 1011,Delhi,Saket,8,3299,11.229705971506519,395745.4,412.375,0.05230530187721968,LOW,0.03486000686690024,0.6048891042941343,0.3390089243776421,0.3104,MEDIUM,LOW
ST1007,Rohini Ev Hub 1007,Delhi,Rohini,2,583,8.484905660377358,119262.02,291.5,0.17228132387706854,MODERATE,0.407215675361728,0.2546877662573391,0.22545796148426492,0.3084,MEDIUM,LOW
ST1018,Andheri Ev Hub 1018,Mumbai,Andheri,4,1345,10.22345724907063,282525.2,336.25,0.09134745992936702,LOW,0.1560306259511566,0.47650466497224536,0.2674964772193518,0.2961,MEDIUM,LOW
ST1067,Gachibowli Ev Hub 1067,Hyderabad,Gachibowli,4,1359,10.061295069904341,199266.1,339.75,0.09320987654320988,LOW,0.16181079245196126,0.45581484943530565,0.27078440582433067,0.292,MEDIUM,LOW
ST1019,Andheri Ev Hub 1019,Mumbai,Andheri,4,1399,9.219085060757685,297511.8,349.75,0.09115194162105811,LOW,0.15542381844762532,0.348359647351841,0.2801784875528417,0.2541,MEDIUM,LOW
ST1006,Dwarka Ev Hub 1006,Delhi,Dwarka,5,1371,9.882275711159737,288222.53,274.2,0.07473426001635324,LOW,0.10447016364931219,0.4329742738522102,0.2092062000939408,0.2456,LOW,LOW
ST1058,Viman Nagar Ev Hub 1058,Pune,Viman Nagar,5,1496,9.764772727272728,183707.03,299.2,0.07404107894085622,LOW,0.10231881791828788,0.4179823992106563,0.2326914044152184,0.2454,LOW,LOW
ST1023,Powai Ev Hub 1023,Mumbai,Powai,5,1450,9.786827586206897,305899.65,290.0,0.07339913945836497,LOW,0.10032650477811263,0.42079631652101296,0.22404884922498824,0.2434,LOW,LOW
ST1052,Hinjewadi Ev Hub 1052,Pune,Hinjewadi,5,1457,9.609608785175018,314080.09,291.4,0.0747179487179487,LOW,0.10441954016371734,0.3981854690232912,0.22536402066697978,0.2375,LOW,LOW
ST1042,Indiranagar Ev Hub 1042,Bengaluru,Indiranagar,5,1477,9.51090047393365,329041.29,295.4,0.07431446540880503,LOW,0.10316729580023203,0.38559155370933557,0.2291216533583842,0.2335,LOW,LOW
ST1068,Gachibowli Ev Hub 1068,Hyderabad,Gachibowli,3,680,8.663676470588236,178322.63,226.66666666666666,0.11641842150316727,LOW,0.2338404624585905,0.2774966302333186,0.16455299827775166,0.2318,LOW,LOW
ST1056,Kothrud Ev Hub 1056,Pune,Kothrud,5,1425,9.531368421052631,170316.51,285.0,0.07370054305663305,LOW,0.10126193617889702,0.38820300141242375,0.21935180836073273,0.2312,LOW,LOW
ST1003,Dwarka Ev Hub 1003,Delhi,Dwarka,3,604,8.7523178807947,90474.7,201.33333333333334,0.1163104178702099,LOW,0.2335052641057916,0.2888061380084042,0.14075465789885705,0.2297,LOW,LOW
ST1059,Viman Nagar Ev Hub 1059,Pune,Viman Nagar,5,1505,9.380365448504984,306355.63,301.0,0.07361213010516018,LOW,0.10098753915272023,0.36893695760613854,0.2343823391263504,0.2281,LOW,LOW
ST1028,Thane Ev Hub 1028,Mumbai,Thane,5,1365,9.514505494505494,162927.67,273.0,0.07344632768361582,LOW,0.10047295740144087,0.3860515081267084,0.20807891028651948,0.2273,LOW,LOW
ST1002,Connaught Place Ev Hub 1002,Delhi,Connaught Place,3,676,8.506804733727812,175132.44,225.33333333333334,0.1177290142807384,LOW,0.23790799730165774,0.25748180732400594,0.16330045404728355,0.2261,LOW,LOW
ST1043,Indiranagar Ev Hub 1043,Bengaluru,Indiranagar,3,645,8.557364341085272,90549.73,215.0,0.11710239651416121,LOW,0.23596323639464184,0.2639325651716373,0.15359323626115548,0.2252,LOW,LOW
ST1024,Powai Ev Hub 1024,Mumbai,Powai,5,1428,9.369257703081232,207726.19,285.6,0.07323076923076924,LOW,0.09980395362492375,0.3675197516643446,0.21991545326444342,0.2235,LOW,LOW
ST1034,Borivali Ev Hub 1034,Mumbai,Borivali,3,616,8.519155844155845,94370.63,205.33333333333334,0.1154206483042908,LOW,0.23074378947109686,0.2590576507034313,0.14451229059026147,0.2191,LOW,LOW
ST1010,Saket Ev Hub 1010,Delhi,Saket,5,1388,9.268876080691642,301910.41,277.6,0.07379053694843168,LOW,0.10154123978625594,0.3547123432956546,0.2124001878816346,0.2179,LOW,LOW
ST1037,Koramangala Ev Hub 1037,Bengaluru,Koramangala,6,1571,9.620496499045194,232378.74,261.8333333333333,0.06278976818545164,LOW,0.06739942929430934,0.39957460175911813,0.19758885235634882,0.2162,LOW,LOW
ST1073,Kukatpally Ev Hub 1073,Hyderabad,Kukatpally,3,645,8.212558139534885,142996.62,215.0,0.11540526033279655,LOW,0.23069603160817548,0.2199397134305737,0.15359323626115548,0.2077,LOW,LOW
ST1014,Karol Bagh Ev Hub 1014,Delhi,Karol Bagh,4,701,8.21055634807418,149856.12,175.25,0.08680039623576027,LOW,0.1419184315884894,0.21968431049828493,0.1162517613903241,0.1627,LOW,LOW
ST1066,Hitech City Ev Hub 1066,Hyderabad,Hitech City,4,657,8.141400304414002,97851.43000000001,164.25,0.08746006389776358,LOW,0.14396576562386834,0.21086088573950457,0.10591827148896195,0.1579,LOW,LOW
ST1033,Borivali Ev Hub 1033,Mumbai,Borivali,4,666,8.022822822822823,144410.52,166.5,0.08726415094339622,LOW,0.1433577333031239,0.19573191896334535,0.10803193987787693,0.1529,LOW,LOW
ST1063,Baner Ev Hub 1063,Pune,Baner,3,244,7.75,69605.99,81.33333333333333,0.11202938475665748,LOW,0.2202187180087114,0.1609232236961026,0.028025677156724594,0.1514,LOW,LOW
ST1046,Electronic City Ev Hub 1046,Bengaluru,Electronic City,4,691,7.8301013024602035,149678.2,172.75,0.08913828689370484,LOW,0.14917427174968312,0.17114312318617275,0.11390324095819633,0.148,LOW,LOW
ST1026,Powai Ev Hub 1026,Mumbai,Powai,5,685,8.183649635036497,156500.51,137.0,0.07135416666666666,LOW,0.0939797598351313,0.21625135879328744,0.08031939877876937,0.1334,LOW,LOW
